ISO,Country/Territory,GDPPerCapita,GDP,EcologicalFootprint,GHGIntensity,EnergyIntensity,WaterIntensity,ClimateCosts,InfraQuality,ForeignPop,EduAttainment,EaseBusiness,ICTDevelopment,KOFIndex,RegulatoryQuality,ClimateResilience,GlobalAdaptation,GovtEffectiveness
AFG,Afghanistan,1972,281,0.772260062,895.3264673,,,0.2252,,,,167,1.95,38.57146454,-1.33922708,,31.43267493,-1.325622678
ALB,Albania,12943,990,2.141634637,722.1164417,13.7979709,,0.0817,4.263843536,1.833659627,,63,5.14,66.10768127,0.223032042,,50.62127307,0.075342767
DZA,Algeria,15260,217,2.448755226,844.2953017,-177.1243579,69.42222222,0.0233,3.45496726,0.351240788,,157,4.67,55.86713791,-1.196304202,44,45.23000238,-0.596461594
ASM,American Samoa,,,,0.4589156,,,,,43.31395856,,,,,-0.253980577,,,0.560836196
ADO,Andorra,,,,,,,,,,,,7.71,46.41900635,1.207126617,,,1.937318087
AGO,Angola,6644,896,1.55887338,,-540.9974712,,0.039,2.249658,,15.86353016,173,1.94,41.82872391,-1.044177413,,35.41904212,-1.028803825
AIA,Anguilla,,,,,,,,,27.37532808,,,,,0.841849923,,,0.836132586
ATG,Antigua and Barbuda,23472,881,4.184473747,456.4392356,,8.461538462,0.9257,,30.52701402,,112,5.71,58.42712784,0.251249671,,47.40922147,0.010243446
ARG,Argentina,20785,22,3.689728277,656.0593866,13.02936074,12.90753425,0.1241,3.253046036,4.501714182,,119,6.79,65.8923111,-0.291172206,79.7,51.94404596,0.160125673
ARM,Armenia,9647,453,2.018594914,1160.127094,71.34130452,42.87797055,0.0979,4.277628899,6.553082726,91.83743286,41,5.76,67.79471588,0.280486375,,53.75303555,-0.096643448
ABW,Aruba,,,6.407520227,,,,,,33.92850104,,,,48.10056686,1.191759109,,,0.91795975
AUS,Australia,48460,530,6.885746416,486.2428359,-192.0159244,3.140243902,0.2475,4.698541641,24.59676454,76.41803741,18,8.24,81.58224487,1.930233955,11.8,70.9682911,1.535621643
AUT,Austria,52398,789,5.876423585,220.8220887,62.42378603,6.349090909,0.167,5.851210594,15.66047841,79.21024323,26,8.02,88.94864655,1.437395215,41.2,70.46835231,1.461381674
AZE,Azerbaijan,17398,315,2.169584949,811.300268,-310.3846944,147.5046211,0.0527,4.989622116,2.857881924,88.6644516,25,6.2,63.89182663,-0.245663553,,50.97030958,-0.161537498
BHS,"Bahamas, The",30430,727,4.823439598,453.8015826,,,2.7403,,14.55922563,,118,6.51,54.70133209,0.121307544,,52.73563687,0.577341318
BHR,Bahrain,47527,633,8.711071703,1068.298342,-61.58425477,,0.0013,5.175052166,,41.76073074,62,7.6,69.22111511,0.414515913,,48.68586513,0.18598111
